group,function,value,sample_time_nanos,iteration_count
CharIter,actual,,1506500.0,2
CharIter,actual,,3012900.0,4
CharIter,actual,,4559600.0,6
CharIter,actual,,6157600.0,8
CharIter,actual,,7597700.0,10
CharIter,actual,,9170400.0,12
CharIter,actual,,10784300.0,14
CharIter,actual,,12245600.0,16
CharIter,actual,,13873900.0,18
CharIter,actual,,14795700.0,20
CharIter,actual,,16866000.0,22
CharIter,actual,,18495600.0,24
CharIter,actual,,19296700.0,26
CharIter,actual,,21174600.0,28
CharIter,actual,,22850000.0,30
CharIter,actual,,24276200.0,32
CharIter,actual,,26011600.0,34
CharIter,actual,,27166200.0,36
CharIter,actual,,28530600.0,38
CharIter,actual,,29918000.0,40
CharIter,actual,,31383100.0,42
CharIter,actual,,32658800.0,44
CharIter,actual,,34521500.0,46
CharIter,actual,,35830100.0,48
CharIter,actual,,37247100.0,50
CharIter,actual,,39241000.0,52
CharIter,actual,,40478900.0,54
CharIter,actual,,41794800.0,56
CharIter,actual,,43136700.0,58
CharIter,actual,,45140400.0,60
CharIter,actual,,46506800.0,62
CharIter,actual,,47511500.0,64
CharIter,actual,,49730000.0,66
CharIter,actual,,50704000.0,68
CharIter,actual,,52443100.0,70
CharIter,actual,,54494000.0,72
CharIter,actual,,57692400.0,74
CharIter,actual,,56912000.0,76
CharIter,actual,,58482100.0,78
CharIter,actual,,59878200.0,80
CharIter,actual,,61050100.0,82
CharIter,actual,,64510400.0,84
CharIter,actual,,64469100.0,86
CharIter,actual,,66861200.0,88
CharIter,actual,,68605800.0,90
CharIter,actual,,70085500.0,92
CharIter,actual,,71050500.0,94
CharIter,actual,,72876700.0,96
CharIter,actual,,73630000.0,98
CharIter,actual,,74624100.0,100
CharIter,actual,,77421500.0,102
CharIter,actual,,82220300.0,104
CharIter,actual,,79845000.0,106
CharIter,actual,,81350400.0,108
CharIter,actual,,83070400.0,110
CharIter,actual,,85222400.0,112
CharIter,actual,,86226100.0,114
CharIter,actual,,88744700.0,116
CharIter,actual,,88519100.0,118
CharIter,actual,,90056700.0,120
CharIter,actual,,92099000.0,122
CharIter,actual,,94219700.0,124
CharIter,actual,,95107500.0,126
CharIter,actual,,98427700.0,128
CharIter,actual,,97926700.0,130
CharIter,actual,,98698500.0,132
CharIter,actual,,100828100.0,134
CharIter,actual,,102286200.0,136
CharIter,actual,,104181300.0,138
CharIter,actual,,104527500.0,140
CharIter,actual,,106484800.0,142
CharIter,actual,,109033300.0,144
CharIter,actual,,109058000.0,146
CharIter,actual,,114227500.0,148
CharIter,actual,,113912500.0,150
CharIter,actual,,114563300.0,152
CharIter,actual,,116253800.0,154
CharIter,actual,,117315100.0,156
CharIter,actual,,117879200.0,158
CharIter,actual,,119733300.0,160
CharIter,actual,,121134700.0,162
CharIter,actual,,123840500.0,164
CharIter,actual,,126990600.0,166
CharIter,actual,,126079300.0,168
CharIter,actual,,127463800.0,170
CharIter,actual,,128692000.0,172
CharIter,actual,,130449900.0,174
CharIter,actual,,132151100.0,176
CharIter,actual,,133019500.0,178
CharIter,actual,,135473000.0,180
CharIter,actual,,139761000.0,182
CharIter,actual,,139000800.0,184
CharIter,actual,,140186700.0,186
CharIter,actual,,142616200.0,188
CharIter,actual,,143788900.0,190
CharIter,actual,,144861600.0,192
CharIter,actual,,146726900.0,194
CharIter,actual,,150743300.0,196
CharIter,actual,,148096600.0,198
CharIter,actual,,151510900.0,200
