group,function,value,sample_time_nanos,iteration_count
CharIter,chain_segments ([closure]),,1173700.0,4
CharIter,chain_segments ([closure]),,2347200.0,8
CharIter,chain_segments ([closure]),,3542300.0,12
CharIter,chain_segments ([closure]),,4836300.0,16
CharIter,chain_segments ([closure]),,5868000.0,20
CharIter,chain_segments ([closure]),,7062500.0,24
CharIter,chain_segments ([closure]),,8614300.0,28
CharIter,chain_segments ([closure]),,9491500.0,32
CharIter,chain_segments ([closure]),,10604400.0,36
CharIter,chain_segments ([closure]),,12244800.0,40
CharIter,chain_segments ([closure]),,13034200.0,44
CharIter,chain_segments ([closure]),,14655200.0,48
CharIter,chain_segments ([closure]),,15344900.0,52
CharIter,chain_segments ([closure]),,16772800.0,56
CharIter,chain_segments ([closure]),,17711700.0,60
CharIter,chain_segments ([closure]),,19182200.0,64
CharIter,chain_segments ([closure]),,20462200.0,68
CharIter,chain_segments ([closure]),,21223700.0,72
CharIter,chain_segments ([closure]),,22932200.0,76
CharIter,chain_segments ([closure]),,24293600.0,80
CharIter,chain_segments ([closure]),,25329400.0,84
CharIter,chain_segments ([closure]),,26147200.0,88
CharIter,chain_segments ([closure]),,27614300.0,92
CharIter,chain_segments ([closure]),,28998500.0,96
CharIter,chain_segments ([closure]),,30228800.0,100
CharIter,chain_segments ([closure]),,31356100.0,104
CharIter,chain_segments ([closure]),,32043900.0,108
CharIter,chain_segments ([closure]),,33934300.0,112
CharIter,chain_segments ([closure]),,34659500.0,116
CharIter,chain_segments ([closure]),,36192900.0,120
CharIter,chain_segments ([closure]),,37178600.0,124
CharIter,chain_segments ([closure]),,38104100.0,128
CharIter,chain_segments ([closure]),,39543500.0,132
CharIter,chain_segments ([closure]),,40813000.0,136
CharIter,chain_segments ([closure]),,41793400.0,140
CharIter,chain_segments ([closure]),,43960100.0,144
CharIter,chain_segments ([closure]),,44309500.0,148
CharIter,chain_segments ([closure]),,45296200.0,152
CharIter,chain_segments ([closure]),,46859800.0,156
CharIter,chain_segments ([closure]),,50032500.0,160
CharIter,chain_segments ([closure]),,49411800.0,164
CharIter,chain_segments ([closure]),,50083300.0,168
CharIter,chain_segments ([closure]),,51521300.0,172
CharIter,chain_segments ([closure]),,52769600.0,176
CharIter,chain_segments ([closure]),,53703500.0,180
CharIter,chain_segments ([closure]),,55167700.0,184
CharIter,chain_segments ([closure]),,56862500.0,188
CharIter,chain_segments ([closure]),,57694200.0,192
CharIter,chain_segments ([closure]),,58776400.0,196
CharIter,chain_segments ([closure]),,60591600.0,200
CharIter,chain_segments ([closure]),,60920100.0,204
CharIter,chain_segments ([closure]),,62219400.0,208
CharIter,chain_segments ([closure]),,63497300.0,212
CharIter,chain_segments ([closure]),,65619300.0,216
CharIter,chain_segments ([closure]),,65690500.0,220
CharIter,chain_segments ([closure]),,67073900.0,224
CharIter,chain_segments ([closure]),,68835500.0,228
CharIter,chain_segments ([closure]),,78811600.0,232
CharIter,chain_segments ([closure]),,73494000.0,236
CharIter,chain_segments ([closure]),,74577500.0,240
CharIter,chain_segments ([closure]),,73271900.0,244
CharIter,chain_segments ([closure]),,74466900.0,248
CharIter,chain_segments ([closure]),,75833200.0,252
CharIter,chain_segments ([closure]),,77358700.0,256
CharIter,chain_segments ([closure]),,78983800.0,260
CharIter,chain_segments ([closure]),,79378400.0,264
CharIter,chain_segments ([closure]),,81363500.0,268
CharIter,chain_segments ([closure]),,82224100.0,272
CharIter,chain_segments ([closure]),,83155700.0,276
CharIter,chain_segments ([closure]),,85350200.0,280
CharIter,chain_segments ([closure]),,87982200.0,284
CharIter,chain_segments ([closure]),,85640500.0,288
CharIter,chain_segments ([closure]),,87462300.0,292
CharIter,chain_segments ([closure]),,88827300.0,296
CharIter,chain_segments ([closure]),,90141500.0,300
CharIter,chain_segments ([closure]),,91506800.0,304
CharIter,chain_segments ([closure]),,93352600.0,308
CharIter,chain_segments ([closure]),,94120600.0,312
CharIter,chain_segments ([closure]),,96080200.0,316
CharIter,chain_segments ([closure]),,96898000.0,320
CharIter,chain_segments ([closure]),,98407300.0,324
CharIter,chain_segments ([closure]),,100485000.0,328
CharIter,chain_segments ([closure]),,99401300.0,332
CharIter,chain_segments ([closure]),,104019700.0,336
CharIter,chain_segments ([closure]),,102755800.0,340
CharIter,chain_segments ([closure]),,103313300.0,344
CharIter,chain_segments ([closure]),,105137900.0,348
CharIter,chain_segments ([closure]),,105699300.0,352
CharIter,chain_segments ([closure]),,107024900.0,356
CharIter,chain_segments ([closure]),,107329400.0,360
CharIter,chain_segments ([closure]),,109329200.0,364
CharIter,chain_segments ([closure]),,112388200.0,368
CharIter,chain_segments ([closure]),,111402900.0,372
CharIter,chain_segments ([closure]),,112316800.0,376
CharIter,chain_segments ([closure]),,115114800.0,380
CharIter,chain_segments ([closure]),,114967600.0,384
CharIter,chain_segments ([closure]),,115872200.0,388
CharIter,chain_segments ([closure]),,119419200.0,392
CharIter,chain_segments ([closure]),,119488100.0,396
CharIter,chain_segments ([closure]),,122643900.0,400
