group,function,value,sample_time_nanos,iteration_count
CharIter,chain_segments (fn()),,1883600.0,1
CharIter,chain_segments (fn()),,3816400.0,2
CharIter,chain_segments (fn()),,5804400.0,3
CharIter,chain_segments (fn()),,7230600.0,4
CharIter,chain_segments (fn()),,9106200.0,5
CharIter,chain_segments (fn()),,10593200.0,6
CharIter,chain_segments (fn()),,12503000.0,7
CharIter,chain_segments (fn()),,14191900.0,8
CharIter,chain_segments (fn()),,16450500.0,9
CharIter,chain_segments (fn()),,17729100.0,10
CharIter,chain_segments (fn()),,19850000.0,11
CharIter,chain_segments (fn()),,21665200.0,12
CharIter,chain_segments (fn()),,23007900.0,13
CharIter,chain_segments (fn()),,25282100.0,14
CharIter,chain_segments (fn()),,27407000.0,15
CharIter,chain_segments (fn()),,29228900.0,16
CharIter,chain_segments (fn()),,30727700.0,17
CharIter,chain_segments (fn()),,32117100.0,18
CharIter,chain_segments (fn()),,33845400.0,19
CharIter,chain_segments (fn()),,36073200.0,20
CharIter,chain_segments (fn()),,37526500.0,21
CharIter,chain_segments (fn()),,39686700.0,22
CharIter,chain_segments (fn()),,41700300.0,23
CharIter,chain_segments (fn()),,44572900.0,24
CharIter,chain_segments (fn()),,45122100.0,25
CharIter,chain_segments (fn()),,46911900.0,26
CharIter,chain_segments (fn()),,48981800.0,27
CharIter,chain_segments (fn()),,50797100.0,28
CharIter,chain_segments (fn()),,53253300.0,29
CharIter,chain_segments (fn()),,53913500.0,30
CharIter,chain_segments (fn()),,55846300.0,31
CharIter,chain_segments (fn()),,57778900.0,32
CharIter,chain_segments (fn()),,60570300.0,33
CharIter,chain_segments (fn()),,62445900.0,34
CharIter,chain_segments (fn()),,62848000.0,35
CharIter,chain_segments (fn()),,64617400.0,36
CharIter,chain_segments (fn()),,67134700.0,37
CharIter,chain_segments (fn()),,68837300.0,38
CharIter,chain_segments (fn()),,70301100.0,39
CharIter,chain_segments (fn()),,72349000.0,40
CharIter,chain_segments (fn()),,73757800.0,41
CharIter,chain_segments (fn()),,75513700.0,42
CharIter,chain_segments (fn()),,77269400.0,43
CharIter,chain_segments (fn()),,79662200.0,44
CharIter,chain_segments (fn()),,80840800.0,45
CharIter,chain_segments (fn()),,84505500.0,46
CharIter,chain_segments (fn()),,86614800.0,47
CharIter,chain_segments (fn()),,87349600.0,48
CharIter,chain_segments (fn()),,89152100.0,49
CharIter,chain_segments (fn()),,90797400.0,50
CharIter,chain_segments (fn()),,91818900.0,51
CharIter,chain_segments (fn()),,93492400.0,52
CharIter,chain_segments (fn()),,95632800.0,53
CharIter,chain_segments (fn()),,97046700.0,54
CharIter,chain_segments (fn()),,98630900.0,55
CharIter,chain_segments (fn()),,100780000.0,56
CharIter,chain_segments (fn()),,102153700.0,57
CharIter,chain_segments (fn()),,106483700.0,58
CharIter,chain_segments (fn()),,106131900.0,59
CharIter,chain_segments (fn()),,107997600.0,60
CharIter,chain_segments (fn()),,111310100.0,61
CharIter,chain_segments (fn()),,113606100.0,62
CharIter,chain_segments (fn()),,115554600.0,63
CharIter,chain_segments (fn()),,116006700.0,64
CharIter,chain_segments (fn()),,117607100.0,65
CharIter,chain_segments (fn()),,119558700.0,66
CharIter,chain_segments (fn()),,121956100.0,67
CharIter,chain_segments (fn()),,122292800.0,68
CharIter,chain_segments (fn()),,125487700.0,69
CharIter,chain_segments (fn()),,126395300.0,70
CharIter,chain_segments (fn()),,127605000.0,71
CharIter,chain_segments (fn()),,128856600.0,72
CharIter,chain_segments (fn()),,131263400.0,73
CharIter,chain_segments (fn()),,133290600.0,74
CharIter,chain_segments (fn()),,136880100.0,75
CharIter,chain_segments (fn()),,136624500.0,76
CharIter,chain_segments (fn()),,139007000.0,77
CharIter,chain_segments (fn()),,140396900.0,78
CharIter,chain_segments (fn()),,141604200.0,79
CharIter,chain_segments (fn()),,144398900.0,80
CharIter,chain_segments (fn()),,146491800.0,81
CharIter,chain_segments (fn()),,148626200.0,82
CharIter,chain_segments (fn()),,150945500.0,83
CharIter,chain_segments (fn()),,152216700.0,84
CharIter,chain_segments (fn()),,155704300.0,85
CharIter,chain_segments (fn()),,157329700.0,86
CharIter,chain_segments (fn()),,160603900.0,87
CharIter,chain_segments (fn()),,159164200.0,88
CharIter,chain_segments (fn()),,162929900.0,89
CharIter,chain_segments (fn()),,163303600.0,90
CharIter,chain_segments (fn()),,166436600.0,91
CharIter,chain_segments (fn()),,166476700.0,92
CharIter,chain_segments (fn()),,168330200.0,93
CharIter,chain_segments (fn()),,170386600.0,94
CharIter,chain_segments (fn()),,173932000.0,95
CharIter,chain_segments (fn()),,173617500.0,96
CharIter,chain_segments (fn()),,176860900.0,97
CharIter,chain_segments (fn()),,179450400.0,98
CharIter,chain_segments (fn()),,181352700.0,99
CharIter,chain_segments (fn()),,182899700.0,100
