group,function,value,sample_time_nanos,iteration_count
CharIter,custom,,1466900.0,2
CharIter,custom,,2981500.0,4
CharIter,custom,,4458200.0,6
CharIter,custom,,5957700.0,8
CharIter,custom,,7385000.0,10
CharIter,custom,,8882500.0,12
CharIter,custom,,10902000.0,14
CharIter,custom,,11820100.0,16
CharIter,custom,,13398800.0,18
CharIter,custom,,15267500.0,20
CharIter,custom,,16719100.0,22
CharIter,custom,,18181100.0,24
CharIter,custom,,19427400.0,26
CharIter,custom,,21715000.0,28
CharIter,custom,,22269200.0,30
CharIter,custom,,24208300.0,32
CharIter,custom,,25639900.0,34
CharIter,custom,,27636300.0,36
CharIter,custom,,29247000.0,38
CharIter,custom,,29965000.0,40
CharIter,custom,,31555400.0,42
CharIter,custom,,32672000.0,44
CharIter,custom,,34327500.0,46
CharIter,custom,,35729100.0,48
CharIter,custom,,37474200.0,50
CharIter,custom,,38861000.0,52
CharIter,custom,,40725900.0,54
CharIter,custom,,42190500.0,56
CharIter,custom,,43182100.0,58
CharIter,custom,,45610400.0,60
CharIter,custom,,47419200.0,62
CharIter,custom,,49702400.0,64
CharIter,custom,,49293900.0,66
CharIter,custom,,50935100.0,68
CharIter,custom,,53549600.0,70
CharIter,custom,,54411600.0,72
CharIter,custom,,55671700.0,74
CharIter,custom,,58242000.0,76
CharIter,custom,,58698500.0,78
CharIter,custom,,60717500.0,80
CharIter,custom,,62161600.0,82
CharIter,custom,,63146500.0,84
CharIter,custom,,64015100.0,86
CharIter,custom,,66632400.0,88
CharIter,custom,,68058900.0,90
CharIter,custom,,69490800.0,92
CharIter,custom,,70368800.0,94
CharIter,custom,,73158700.0,96
CharIter,custom,,74689800.0,98
CharIter,custom,,74494500.0,100
CharIter,custom,,76871900.0,102
CharIter,custom,,77513200.0,104
CharIter,custom,,79618800.0,106
CharIter,custom,,80594600.0,108
CharIter,custom,,82480100.0,110
CharIter,custom,,83645500.0,112
CharIter,custom,,85206200.0,114
CharIter,custom,,86972600.0,116
CharIter,custom,,88417000.0,118
CharIter,custom,,90199700.0,120
CharIter,custom,,94411700.0,122
CharIter,custom,,93052300.0,124
CharIter,custom,,94739200.0,126
CharIter,custom,,96033600.0,128
CharIter,custom,,97261700.0,130
CharIter,custom,,98897900.0,132
CharIter,custom,,100156200.0,134
CharIter,custom,,103191100.0,136
CharIter,custom,,103556000.0,138
CharIter,custom,,104630900.0,140
CharIter,custom,,109470000.0,142
CharIter,custom,,109343300.0,144
CharIter,custom,,110939400.0,146
CharIter,custom,,111007200.0,148
CharIter,custom,,112131700.0,150
CharIter,custom,,114360400.0,152
CharIter,custom,,115047500.0,154
CharIter,custom,,117300600.0,156
CharIter,custom,,118407300.0,158
CharIter,custom,,121899600.0,160
CharIter,custom,,121700600.0,162
CharIter,custom,,123490200.0,164
CharIter,custom,,124847700.0,166
CharIter,custom,,126831500.0,168
CharIter,custom,,128041100.0,170
CharIter,custom,,130071900.0,172
CharIter,custom,,130890500.0,174
CharIter,custom,,134171600.0,176
CharIter,custom,,133931700.0,178
CharIter,custom,,134741600.0,180
CharIter,custom,,137413100.0,182
CharIter,custom,,138339100.0,184
CharIter,custom,,138978100.0,186
CharIter,custom,,141379700.0,188
CharIter,custom,,144203900.0,190
CharIter,custom,,147334000.0,192
CharIter,custom,,147061500.0,194
CharIter,custom,,146965800.0,196
CharIter,custom,,147845200.0,198
CharIter,custom,,149681100.0,200
