group,function,value,sample_time_nanos,iteration_count
CharIter,try_from ([closure]),,1207200.0,2
CharIter,try_from ([closure]),,2414100.0,4
CharIter,try_from ([closure]),,3660000.0,6
CharIter,try_from ([closure]),,4866200.0,8
CharIter,try_from ([closure]),,5876100.0,10
CharIter,try_from ([closure]),,7216800.0,12
CharIter,try_from ([closure]),,8226200.0,14
CharIter,try_from ([closure]),,9608300.0,16
CharIter,try_from ([closure]),,10576800.0,18
CharIter,try_from ([closure]),,12145600.0,20
CharIter,try_from ([closure]),,13056200.0,22
CharIter,try_from ([closure]),,14597100.0,24
CharIter,try_from ([closure]),,15434900.0,26
CharIter,try_from ([closure]),,16885400.0,28
CharIter,try_from ([closure]),,17720800.0,30
CharIter,try_from ([closure]),,19221100.0,32
CharIter,try_from ([closure]),,20549900.0,34
CharIter,try_from ([closure]),,21471200.0,36
CharIter,try_from ([closure]),,23485200.0,38
CharIter,try_from ([closure]),,24487400.0,40
CharIter,try_from ([closure]),,25343700.0,42
CharIter,try_from ([closure]),,26251600.0,44
CharIter,try_from ([closure]),,27317200.0,46
CharIter,try_from ([closure]),,28838900.0,48
CharIter,try_from ([closure]),,29774100.0,50
CharIter,try_from ([closure]),,31235700.0,52
CharIter,try_from ([closure]),,32236800.0,54
CharIter,try_from ([closure]),,33805700.0,56
CharIter,try_from ([closure]),,34810700.0,58
CharIter,try_from ([closure]),,36442900.0,60
CharIter,try_from ([closure]),,37352200.0,62
CharIter,try_from ([closure]),,38418000.0,64
CharIter,try_from ([closure]),,39441600.0,66
CharIter,try_from ([closure]),,40892800.0,68
CharIter,try_from ([closure]),,42650400.0,70
CharIter,try_from ([closure]),,43322300.0,72
CharIter,try_from ([closure]),,44427000.0,74
CharIter,try_from ([closure]),,46268400.0,76
CharIter,try_from ([closure]),,47657600.0,78
CharIter,try_from ([closure]),,48429800.0,80
CharIter,try_from ([closure]),,52953100.0,82
CharIter,try_from ([closure]),,50474000.0,84
CharIter,try_from ([closure]),,51546000.0,86
CharIter,try_from ([closure]),,52514000.0,88
CharIter,try_from ([closure]),,56738600.0,90
CharIter,try_from ([closure]),,57188200.0,92
CharIter,try_from ([closure]),,56787400.0,94
CharIter,try_from ([closure]),,59048100.0,96
CharIter,try_from ([closure]),,59172500.0,98
CharIter,try_from ([closure]),,60250400.0,100
CharIter,try_from ([closure]),,61724300.0,102
CharIter,try_from ([closure]),,62467000.0,104
CharIter,try_from ([closure]),,63937600.0,106
CharIter,try_from ([closure]),,64683000.0,108
CharIter,try_from ([closure]),,67777100.0,110
CharIter,try_from ([closure]),,68292400.0,112
CharIter,try_from ([closure]),,68684300.0,114
CharIter,try_from ([closure]),,71703900.0,116
CharIter,try_from ([closure]),,70897400.0,118
CharIter,try_from ([closure]),,71972500.0,120
CharIter,try_from ([closure]),,73682600.0,122
CharIter,try_from ([closure]),,74137400.0,124
CharIter,try_from ([closure]),,79029700.0,126
CharIter,try_from ([closure]),,78016000.0,128
CharIter,try_from ([closure]),,78520700.0,130
CharIter,try_from ([closure]),,82360700.0,132
CharIter,try_from ([closure]),,80806500.0,134
CharIter,try_from ([closure]),,84377800.0,136
CharIter,try_from ([closure]),,87042100.0,138
CharIter,try_from ([closure]),,90143800.0,140
CharIter,try_from ([closure]),,89792700.0,142
CharIter,try_from ([closure]),,89466000.0,144
CharIter,try_from ([closure]),,91355200.0,146
CharIter,try_from ([closure]),,93785300.0,148
CharIter,try_from ([closure]),,92684400.0,150
CharIter,try_from ([closure]),,94352500.0,152
CharIter,try_from ([closure]),,96121800.0,154
CharIter,try_from ([closure]),,97142200.0,156
CharIter,try_from ([closure]),,96938300.0,158
CharIter,try_from ([closure]),,98865700.0,160
CharIter,try_from ([closure]),,99824900.0,162
CharIter,try_from ([closure]),,102259600.0,164
CharIter,try_from ([closure]),,103434000.0,166
CharIter,try_from ([closure]),,103616700.0,168
CharIter,try_from ([closure]),,105983600.0,170
CharIter,try_from ([closure]),,105873200.0,172
CharIter,try_from ([closure]),,107683000.0,174
CharIter,try_from ([closure]),,109632000.0,176
CharIter,try_from ([closure]),,110293500.0,178
CharIter,try_from ([closure]),,111513100.0,180
CharIter,try_from ([closure]),,113791600.0,182
CharIter,try_from ([closure]),,115146400.0,184
CharIter,try_from ([closure]),,114396600.0,186
CharIter,try_from ([closure]),,115952200.0,188
CharIter,try_from ([closure]),,118136700.0,190
CharIter,try_from ([closure]),,116949300.0,192
CharIter,try_from ([closure]),,116818200.0,194
CharIter,try_from ([closure]),,119078500.0,196
CharIter,try_from ([closure]),,119319000.0,198
CharIter,try_from ([closure]),,122794800.0,200
