group,function,value,sample_time_nanos,iteration_count
CharIter,try_from (fn()),,1763400.0,1
CharIter,try_from (fn()),,3526600.0,2
CharIter,try_from (fn()),,5289900.0,3
CharIter,try_from (fn()),,7209700.0,4
CharIter,try_from (fn()),,8816200.0,5
CharIter,try_from (fn()),,10947500.0,6
CharIter,try_from (fn()),,12933600.0,7
CharIter,try_from (fn()),,15520800.0,8
CharIter,try_from (fn()),,16832700.0,9
CharIter,try_from (fn()),,18086100.0,10
CharIter,try_from (fn()),,19533400.0,11
CharIter,try_from (fn()),,21777300.0,12
CharIter,try_from (fn()),,23436300.0,13
CharIter,try_from (fn()),,25170500.0,14
CharIter,try_from (fn()),,27262100.0,15
CharIter,try_from (fn()),,29004200.0,16
CharIter,try_from (fn()),,30913900.0,17
CharIter,try_from (fn()),,32361800.0,18
CharIter,try_from (fn()),,34666200.0,19
CharIter,try_from (fn()),,35784100.0,20
CharIter,try_from (fn()),,37461100.0,21
CharIter,try_from (fn()),,40209500.0,22
CharIter,try_from (fn()),,41810500.0,23
CharIter,try_from (fn()),,43104600.0,24
CharIter,try_from (fn()),,45855300.0,25
CharIter,try_from (fn()),,47818400.0,26
CharIter,try_from (fn()),,48877100.0,27
CharIter,try_from (fn()),,51842800.0,28
CharIter,try_from (fn()),,53149300.0,29
CharIter,try_from (fn()),,54579900.0,30
CharIter,try_from (fn()),,55953800.0,31
CharIter,try_from (fn()),,57997200.0,32
CharIter,try_from (fn()),,61341100.0,33
CharIter,try_from (fn()),,63679900.0,34
CharIter,try_from (fn()),,64776600.0,35
CharIter,try_from (fn()),,66919500.0,36
CharIter,try_from (fn()),,67268700.0,37
CharIter,try_from (fn()),,68529500.0,38
CharIter,try_from (fn()),,71697300.0,39
CharIter,try_from (fn()),,73373300.0,40
CharIter,try_from (fn()),,75198700.0,41
CharIter,try_from (fn()),,76623100.0,42
CharIter,try_from (fn()),,77802300.0,43
CharIter,try_from (fn()),,79018000.0,44
CharIter,try_from (fn()),,81094300.0,45
CharIter,try_from (fn()),,84401000.0,46
CharIter,try_from (fn()),,84879400.0,47
CharIter,try_from (fn()),,88754800.0,48
CharIter,try_from (fn()),,89106200.0,49
CharIter,try_from (fn()),,89902700.0,50
CharIter,try_from (fn()),,92589200.0,51
CharIter,try_from (fn()),,93436800.0,52
CharIter,try_from (fn()),,95792100.0,53
CharIter,try_from (fn()),,97531900.0,54
CharIter,try_from (fn()),,98954700.0,55
CharIter,try_from (fn()),,100709500.0,56
CharIter,try_from (fn()),,103326000.0,57
CharIter,try_from (fn()),,105837800.0,58
CharIter,try_from (fn()),,109625000.0,59
CharIter,try_from (fn()),,108320900.0,60
CharIter,try_from (fn()),,110548200.0,61
CharIter,try_from (fn()),,112613000.0,62
CharIter,try_from (fn()),,114718600.0,63
CharIter,try_from (fn()),,116138300.0,64
CharIter,try_from (fn()),,116557500.0,65
CharIter,try_from (fn()),,119153400.0,66
CharIter,try_from (fn()),,120499500.0,67
CharIter,try_from (fn()),,125145800.0,68
CharIter,try_from (fn()),,123733300.0,69
CharIter,try_from (fn()),,125888900.0,70
CharIter,try_from (fn()),,128398200.0,71
CharIter,try_from (fn()),,130368900.0,72
CharIter,try_from (fn()),,130984300.0,73
CharIter,try_from (fn()),,134659400.0,74
CharIter,try_from (fn()),,134800800.0,75
CharIter,try_from (fn()),,139042300.0,76
CharIter,try_from (fn()),,138419800.0,77
CharIter,try_from (fn()),,140369300.0,78
CharIter,try_from (fn()),,143108700.0,79
CharIter,try_from (fn()),,145687000.0,80
CharIter,try_from (fn()),,147052700.0,81
CharIter,try_from (fn()),,149219300.0,82
CharIter,try_from (fn()),,153013400.0,83
CharIter,try_from (fn()),,153758200.0,84
CharIter,try_from (fn()),,153276700.0,85
CharIter,try_from (fn()),,156010300.0,86
CharIter,try_from (fn()),,156773300.0,87
CharIter,try_from (fn()),,159760600.0,88
CharIter,try_from (fn()),,163443000.0,89
CharIter,try_from (fn()),,162001400.0,90
CharIter,try_from (fn()),,164172600.0,91
CharIter,try_from (fn()),,166353700.0,92
CharIter,try_from (fn()),,167178300.0,93
CharIter,try_from (fn()),,171058000.0,94
CharIter,try_from (fn()),,175443100.0,95
CharIter,try_from (fn()),,174765000.0,96
CharIter,try_from (fn()),,177770400.0,97
CharIter,try_from (fn()),,177053600.0,98
CharIter,try_from (fn()),,179625400.0,99
CharIter,try_from (fn()),,179933200.0,100
