group,function,value,sample_time_nanos,iteration_count
CharParIter,actual,,1083500.0,3
CharParIter,actual,,2431900.0,6
CharParIter,actual,,3336200.0,9
CharParIter,actual,,4378200.0,12
CharParIter,actual,,5553200.0,15
CharParIter,actual,,6985800.0,18
CharParIter,actual,,7706600.0,21
CharParIter,actual,,8893300.0,24
CharParIter,actual,,10166900.0,27
CharParIter,actual,,11142100.0,30
CharParIter,actual,,12224000.0,33
CharParIter,actual,,13638900.0,36
CharParIter,actual,,14416500.0,39
CharParIter,actual,,15616800.0,42
CharParIter,actual,,16765300.0,45
CharParIter,actual,,17867900.0,48
CharParIter,actual,,19042300.0,51
CharParIter,actual,,20020900.0,54
CharParIter,actual,,21703900.0,57
CharParIter,actual,,22213500.0,60
CharParIter,actual,,23627000.0,63
CharParIter,actual,,24458500.0,66
CharParIter,actual,,25685000.0,69
CharParIter,actual,,26746600.0,72
CharParIter,actual,,28299200.0,75
CharParIter,actual,,28970300.0,78
CharParIter,actual,,30314700.0,81
CharParIter,actual,,31295900.0,84
CharParIter,actual,,32522600.0,87
CharParIter,actual,,33485200.0,90
CharParIter,actual,,34456400.0,93
CharParIter,actual,,35654300.0,96
CharParIter,actual,,36535600.0,99
CharParIter,actual,,37788500.0,102
CharParIter,actual,,39094700.0,105
CharParIter,actual,,44025800.0,108
CharParIter,actual,,41869900.0,111
CharParIter,actual,,42466400.0,114
CharParIter,actual,,43529200.0,117
CharParIter,actual,,49393100.0,120
CharParIter,actual,,46872200.0,123
CharParIter,actual,,46633200.0,126
CharParIter,actual,,47702200.0,129
CharParIter,actual,,58056500.0,132
CharParIter,actual,,64807900.0,135
CharParIter,actual,,65958800.0,138
CharParIter,actual,,67421100.0,141
CharParIter,actual,,68740800.0,144
CharParIter,actual,,70677100.0,147
CharParIter,actual,,71828800.0,150
CharParIter,actual,,73360900.0,153
CharParIter,actual,,74622200.0,156
CharParIter,actual,,76183200.0,159
CharParIter,actual,,78132600.0,162
CharParIter,actual,,78894800.0,165
CharParIter,actual,,88307200.0,168
CharParIter,actual,,81860900.0,171
CharParIter,actual,,79220000.0,174
CharParIter,actual,,65752300.0,177
CharParIter,actual,,66610600.0,180
CharParIter,actual,,68228800.0,183
CharParIter,actual,,69021600.0,186
CharParIter,actual,,71024200.0,189
CharParIter,actual,,71190300.0,192
CharParIter,actual,,72463200.0,195
CharParIter,actual,,73868700.0,198
CharParIter,actual,,75064700.0,201
CharParIter,actual,,75721700.0,204
CharParIter,actual,,76854900.0,207
CharParIter,actual,,83980300.0,210
CharParIter,actual,,79380100.0,213
CharParIter,actual,,80475600.0,216
CharParIter,actual,,81566500.0,219
CharParIter,actual,,82647100.0,222
CharParIter,actual,,83200500.0,225
CharParIter,actual,,85448000.0,228
CharParIter,actual,,85585400.0,231
CharParIter,actual,,87411000.0,234
CharParIter,actual,,108216300.0,237
CharParIter,actual,,114842500.0,240
CharParIter,actual,,118820900.0,243
CharParIter,actual,,135050400.0,246
CharParIter,actual,,159306300.0,249
CharParIter,actual,,151502700.0,252
CharParIter,actual,,122046200.0,255
CharParIter,actual,,123931800.0,258
CharParIter,actual,,125408900.0,261
CharParIter,actual,,126443800.0,264
CharParIter,actual,,132699600.0,267
CharParIter,actual,,132064800.0,270
CharParIter,actual,,114043900.0,273
CharParIter,actual,,102827800.0,276
CharParIter,actual,,104207400.0,279
CharParIter,actual,,104898300.0,282
CharParIter,actual,,111195900.0,285
CharParIter,actual,,107296200.0,288
CharParIter,actual,,108353500.0,291
CharParIter,actual,,109728900.0,294
CharParIter,actual,,116065100.0,297
CharParIter,actual,,111270300.0,300
