group,function,value,sample_time_nanos,iteration_count
CharParIter,chain_segments ([closure]),,1384800.0,9
CharParIter,chain_segments ([closure]),,2934300.0,18
CharParIter,chain_segments ([closure]),,4026100.0,27
CharParIter,chain_segments ([closure]),,5498900.0,36
CharParIter,chain_segments ([closure]),,6848600.0,45
CharParIter,chain_segments ([closure]),,8591500.0,54
CharParIter,chain_segments ([closure]),,9751000.0,63
CharParIter,chain_segments ([closure]),,10925300.0,72
CharParIter,chain_segments ([closure]),,12467900.0,81
CharParIter,chain_segments ([closure]),,13772900.0,90
CharParIter,chain_segments ([closure]),,15266000.0,99
CharParIter,chain_segments ([closure]),,16413200.0,108
CharParIter,chain_segments ([closure]),,17910500.0,117
CharParIter,chain_segments ([closure]),,19281600.0,126
CharParIter,chain_segments ([closure]),,20539500.0,135
CharParIter,chain_segments ([closure]),,22135800.0,144
CharParIter,chain_segments ([closure]),,23292300.0,153
CharParIter,chain_segments ([closure]),,25989400.0,162
CharParIter,chain_segments ([closure]),,27345200.0,171
CharParIter,chain_segments ([closure]),,32360000.0,180
CharParIter,chain_segments ([closure]),,31425100.0,189
CharParIter,chain_segments ([closure]),,30292200.0,198
CharParIter,chain_segments ([closure]),,31669600.0,207
CharParIter,chain_segments ([closure]),,33449200.0,216
CharParIter,chain_segments ([closure]),,34949100.0,225
CharParIter,chain_segments ([closure]),,36341400.0,234
CharParIter,chain_segments ([closure]),,37447600.0,243
CharParIter,chain_segments ([closure]),,38549100.0,252
CharParIter,chain_segments ([closure]),,34949600.0,261
CharParIter,chain_segments ([closure]),,32269700.0,270
CharParIter,chain_segments ([closure]),,33140800.0,279
CharParIter,chain_segments ([closure]),,34117100.0,288
CharParIter,chain_segments ([closure]),,35374600.0,297
CharParIter,chain_segments ([closure]),,36314400.0,306
CharParIter,chain_segments ([closure]),,37437000.0,315
CharParIter,chain_segments ([closure]),,38568600.0,324
CharParIter,chain_segments ([closure]),,39243100.0,333
CharParIter,chain_segments ([closure]),,40489300.0,342
CharParIter,chain_segments ([closure]),,42078000.0,351
CharParIter,chain_segments ([closure]),,42700200.0,360
CharParIter,chain_segments ([closure]),,46359500.0,369
CharParIter,chain_segments ([closure]),,45536800.0,378
CharParIter,chain_segments ([closure]),,46022900.0,387
CharParIter,chain_segments ([closure]),,47404900.0,396
CharParIter,chain_segments ([closure]),,48363100.0,405
CharParIter,chain_segments ([closure]),,48991500.0,414
CharParIter,chain_segments ([closure]),,56425400.0,423
CharParIter,chain_segments ([closure]),,51116700.0,432
CharParIter,chain_segments ([closure]),,52621700.0,441
CharParIter,chain_segments ([closure]),,53601700.0,450
CharParIter,chain_segments ([closure]),,54944600.0,459
CharParIter,chain_segments ([closure]),,55329100.0,468
CharParIter,chain_segments ([closure]),,56876600.0,477
CharParIter,chain_segments ([closure]),,57553700.0,486
CharParIter,chain_segments ([closure]),,59126500.0,495
CharParIter,chain_segments ([closure]),,59714800.0,504
CharParIter,chain_segments ([closure]),,61197500.0,513
CharParIter,chain_segments ([closure]),,62373700.0,522
CharParIter,chain_segments ([closure]),,63200500.0,531
CharParIter,chain_segments ([closure]),,64310500.0,540
CharParIter,chain_segments ([closure]),,69858600.0,549
CharParIter,chain_segments ([closure]),,85994700.0,558
CharParIter,chain_segments ([closure]),,87528500.0,567
CharParIter,chain_segments ([closure]),,95538000.0,576
CharParIter,chain_segments ([closure]),,89688000.0,585
CharParIter,chain_segments ([closure]),,90975300.0,594
CharParIter,chain_segments ([closure]),,91993800.0,603
CharParIter,chain_segments ([closure]),,94188800.0,612
CharParIter,chain_segments ([closure]),,95006200.0,621
CharParIter,chain_segments ([closure]),,96671500.0,630
CharParIter,chain_segments ([closure]),,105840200.0,639
CharParIter,chain_segments ([closure]),,98972300.0,648
CharParIter,chain_segments ([closure]),,101115500.0,657
CharParIter,chain_segments ([closure]),,102892100.0,666
CharParIter,chain_segments ([closure]),,111280300.0,675
CharParIter,chain_segments ([closure]),,105456100.0,684
CharParIter,chain_segments ([closure]),,107212100.0,693
CharParIter,chain_segments ([closure]),,86664100.0,702
CharParIter,chain_segments ([closure]),,84381400.0,711
CharParIter,chain_segments ([closure]),,85733000.0,720
CharParIter,chain_segments ([closure]),,87642800.0,729
CharParIter,chain_segments ([closure]),,87854300.0,738
CharParIter,chain_segments ([closure]),,88455200.0,747
CharParIter,chain_segments ([closure]),,100162400.0,756
CharParIter,chain_segments ([closure]),,110404300.0,765
CharParIter,chain_segments ([closure]),,107550100.0,774
CharParIter,chain_segments ([closure]),,106533100.0,783
CharParIter,chain_segments ([closure]),,95559000.0,792
CharParIter,chain_segments ([closure]),,97230100.0,801
CharParIter,chain_segments ([closure]),,100300400.0,810
CharParIter,chain_segments ([closure]),,97807300.0,819
CharParIter,chain_segments ([closure]),,103882500.0,828
CharParIter,chain_segments ([closure]),,99376400.0,837
CharParIter,chain_segments ([closure]),,122814700.0,846
CharParIter,chain_segments ([closure]),,135315800.0,855
CharParIter,chain_segments ([closure]),,143292900.0,864
CharParIter,chain_segments ([closure]),,135307500.0,873
CharParIter,chain_segments ([closure]),,136853100.0,882
CharParIter,chain_segments ([closure]),,138756700.0,891
CharParIter,chain_segments ([closure]),,139827600.0,900
