group,function,value,sample_time_nanos,iteration_count
CharParIter,chain_segments (fn()),,1098200.0,3
CharParIter,chain_segments (fn()),,2251700.0,6
CharParIter,chain_segments (fn()),,3364800.0,9
CharParIter,chain_segments (fn()),,4426400.0,12
CharParIter,chain_segments (fn()),,5535000.0,15
CharParIter,chain_segments (fn()),,6652900.0,18
CharParIter,chain_segments (fn()),,7904200.0,21
CharParIter,chain_segments (fn()),,8878700.0,24
CharParIter,chain_segments (fn()),,12037400.0,27
CharParIter,chain_segments (fn()),,13386600.0,30
CharParIter,chain_segments (fn()),,12393800.0,33
CharParIter,chain_segments (fn()),,13280600.0,36
CharParIter,chain_segments (fn()),,14515500.0,39
CharParIter,chain_segments (fn()),,15665700.0,42
CharParIter,chain_segments (fn()),,16990200.0,45
CharParIter,chain_segments (fn()),,17825900.0,48
CharParIter,chain_segments (fn()),,18877600.0,51
CharParIter,chain_segments (fn()),,20025500.0,54
CharParIter,chain_segments (fn()),,21444600.0,57
CharParIter,chain_segments (fn()),,22832700.0,60
CharParIter,chain_segments (fn()),,23366100.0,63
CharParIter,chain_segments (fn()),,24695400.0,66
CharParIter,chain_segments (fn()),,25578800.0,69
CharParIter,chain_segments (fn()),,26572300.0,72
CharParIter,chain_segments (fn()),,28140400.0,75
CharParIter,chain_segments (fn()),,29891300.0,78
CharParIter,chain_segments (fn()),,30018500.0,81
CharParIter,chain_segments (fn()),,31082200.0,84
CharParIter,chain_segments (fn()),,32438900.0,87
CharParIter,chain_segments (fn()),,33555800.0,90
CharParIter,chain_segments (fn()),,34383300.0,93
CharParIter,chain_segments (fn()),,35868800.0,96
CharParIter,chain_segments (fn()),,36563000.0,99
CharParIter,chain_segments (fn()),,37794600.0,102
CharParIter,chain_segments (fn()),,39354000.0,105
CharParIter,chain_segments (fn()),,40407100.0,108
CharParIter,chain_segments (fn()),,41035800.0,111
CharParIter,chain_segments (fn()),,42272200.0,114
CharParIter,chain_segments (fn()),,43404300.0,117
CharParIter,chain_segments (fn()),,44838500.0,120
CharParIter,chain_segments (fn()),,50651600.0,123
CharParIter,chain_segments (fn()),,47921300.0,126
CharParIter,chain_segments (fn()),,47996900.0,129
CharParIter,chain_segments (fn()),,49152100.0,132
CharParIter,chain_segments (fn()),,50229200.0,135
CharParIter,chain_segments (fn()),,51440200.0,138
CharParIter,chain_segments (fn()),,52560700.0,141
CharParIter,chain_segments (fn()),,53252300.0,144
CharParIter,chain_segments (fn()),,54870500.0,147
CharParIter,chain_segments (fn()),,56193600.0,150
CharParIter,chain_segments (fn()),,57043500.0,153
CharParIter,chain_segments (fn()),,57554100.0,156
CharParIter,chain_segments (fn()),,59392000.0,159
CharParIter,chain_segments (fn()),,60068600.0,162
CharParIter,chain_segments (fn()),,61191200.0,165
CharParIter,chain_segments (fn()),,62594200.0,168
CharParIter,chain_segments (fn()),,63227200.0,171
CharParIter,chain_segments (fn()),,64763200.0,174
CharParIter,chain_segments (fn()),,66776700.0,177
CharParIter,chain_segments (fn()),,72227200.0,180
CharParIter,chain_segments (fn()),,67858700.0,183
CharParIter,chain_segments (fn()),,69168400.0,186
CharParIter,chain_segments (fn()),,70260800.0,189
CharParIter,chain_segments (fn()),,71443400.0,192
CharParIter,chain_segments (fn()),,72955700.0,195
CharParIter,chain_segments (fn()),,73633000.0,198
CharParIter,chain_segments (fn()),,74976000.0,201
CharParIter,chain_segments (fn()),,75677300.0,204
CharParIter,chain_segments (fn()),,76701900.0,207
CharParIter,chain_segments (fn()),,78549500.0,210
CharParIter,chain_segments (fn()),,79109900.0,213
CharParIter,chain_segments (fn()),,80236800.0,216
CharParIter,chain_segments (fn()),,83199500.0,219
CharParIter,chain_segments (fn()),,88303900.0,222
CharParIter,chain_segments (fn()),,83627100.0,225
CharParIter,chain_segments (fn()),,84822700.0,228
CharParIter,chain_segments (fn()),,86876500.0,231
CharParIter,chain_segments (fn()),,87558100.0,234
CharParIter,chain_segments (fn()),,87972800.0,237
CharParIter,chain_segments (fn()),,89136600.0,240
CharParIter,chain_segments (fn()),,90180800.0,243
CharParIter,chain_segments (fn()),,91663300.0,246
CharParIter,chain_segments (fn()),,92395200.0,249
CharParIter,chain_segments (fn()),,93829400.0,252
CharParIter,chain_segments (fn()),,99255600.0,255
CharParIter,chain_segments (fn()),,97304500.0,258
CharParIter,chain_segments (fn()),,96794500.0,261
CharParIter,chain_segments (fn()),,98524200.0,264
CharParIter,chain_segments (fn()),,99258500.0,267
CharParIter,chain_segments (fn()),,100298800.0,270
CharParIter,chain_segments (fn()),,101621900.0,273
CharParIter,chain_segments (fn()),,102177400.0,276
CharParIter,chain_segments (fn()),,104063700.0,279
CharParIter,chain_segments (fn()),,105434300.0,282
CharParIter,chain_segments (fn()),,109937500.0,285
CharParIter,chain_segments (fn()),,112516800.0,288
CharParIter,chain_segments (fn()),,108274900.0,291
CharParIter,chain_segments (fn()),,109861600.0,294
CharParIter,chain_segments (fn()),,110518000.0,297
CharParIter,chain_segments (fn()),,111398500.0,300
