group,function,value,sample_time_nanos,iteration_count
CharParIter,decompress ([closure]),,959800.0,5
CharParIter,decompress ([closure]),,2068500.0,10
CharParIter,decompress ([closure]),,2900000.0,15
CharParIter,decompress ([closure]),,3855100.0,20
CharParIter,decompress ([closure]),,5008700.0,25
CharParIter,decompress ([closure]),,5834300.0,30
CharParIter,decompress ([closure]),,6934400.0,35
CharParIter,decompress ([closure]),,7943900.0,40
CharParIter,decompress ([closure]),,8680400.0,45
CharParIter,decompress ([closure]),,9996000.0,50
CharParIter,decompress ([closure]),,10709000.0,55
CharParIter,decompress ([closure]),,12266700.0,60
CharParIter,decompress ([closure]),,15932700.0,65
CharParIter,decompress ([closure]),,17497100.0,70
CharParIter,decompress ([closure]),,18932100.0,75
CharParIter,decompress ([closure]),,20374400.0,80
CharParIter,decompress ([closure]),,21441400.0,85
CharParIter,decompress ([closure]),,22674800.0,90
CharParIter,decompress ([closure]),,24631800.0,95
CharParIter,decompress ([closure]),,25358800.0,100
CharParIter,decompress ([closure]),,26503300.0,105
CharParIter,decompress ([closure]),,27957000.0,110
CharParIter,decompress ([closure]),,28961200.0,115
CharParIter,decompress ([closure]),,30370300.0,120
CharParIter,decompress ([closure]),,31357300.0,125
CharParIter,decompress ([closure]),,32851900.0,130
CharParIter,decompress ([closure]),,34232700.0,135
CharParIter,decompress ([closure]),,39187100.0,140
CharParIter,decompress ([closure]),,37788000.0,145
CharParIter,decompress ([closure]),,39183400.0,150
CharParIter,decompress ([closure]),,39181700.0,155
CharParIter,decompress ([closure]),,40283600.0,160
CharParIter,decompress ([closure]),,41520000.0,165
CharParIter,decompress ([closure]),,43129000.0,170
CharParIter,decompress ([closure]),,47322000.0,175
CharParIter,decompress ([closure]),,49729400.0,180
CharParIter,decompress ([closure]),,47212100.0,185
CharParIter,decompress ([closure]),,47882100.0,190
CharParIter,decompress ([closure]),,49492900.0,195
CharParIter,decompress ([closure]),,50431000.0,200
CharParIter,decompress ([closure]),,51911000.0,205
CharParIter,decompress ([closure]),,53763000.0,210
CharParIter,decompress ([closure]),,42965900.0,215
CharParIter,decompress ([closure]),,43084500.0,220
CharParIter,decompress ([closure]),,44006800.0,225
CharParIter,decompress ([closure]),,44893900.0,230
CharParIter,decompress ([closure]),,45886800.0,235
CharParIter,decompress ([closure]),,46854000.0,240
CharParIter,decompress ([closure]),,48036200.0,245
CharParIter,decompress ([closure]),,48595300.0,250
CharParIter,decompress ([closure]),,50290500.0,255
CharParIter,decompress ([closure]),,50702300.0,260
CharParIter,decompress ([closure]),,51585600.0,265
CharParIter,decompress ([closure]),,52729700.0,270
CharParIter,decompress ([closure]),,53491400.0,275
CharParIter,decompress ([closure]),,54632000.0,280
CharParIter,decompress ([closure]),,62284600.0,285
CharParIter,decompress ([closure]),,56725400.0,290
CharParIter,decompress ([closure]),,62494000.0,295
CharParIter,decompress ([closure]),,59181400.0,300
CharParIter,decompress ([closure]),,59541100.0,305
CharParIter,decompress ([closure]),,61016300.0,310
CharParIter,decompress ([closure]),,61560300.0,315
CharParIter,decompress ([closure]),,62799400.0,320
CharParIter,decompress ([closure]),,63722500.0,325
CharParIter,decompress ([closure]),,64695600.0,330
CharParIter,decompress ([closure]),,65802700.0,335
CharParIter,decompress ([closure]),,66617600.0,340
CharParIter,decompress ([closure]),,67385900.0,345
CharParIter,decompress ([closure]),,68233500.0,350
CharParIter,decompress ([closure]),,84929400.0,355
CharParIter,decompress ([closure]),,91701300.0,360
CharParIter,decompress ([closure]),,99248500.0,365
CharParIter,decompress ([closure]),,93599800.0,370
CharParIter,decompress ([closure]),,94794200.0,375
CharParIter,decompress ([closure]),,95925800.0,380
CharParIter,decompress ([closure]),,96904200.0,385
CharParIter,decompress ([closure]),,98357800.0,390
CharParIter,decompress ([closure]),,100429000.0,395
CharParIter,decompress ([closure]),,101745300.0,400
CharParIter,decompress ([closure]),,102036900.0,405
CharParIter,decompress ([closure]),,103032500.0,410
CharParIter,decompress ([closure]),,111902000.0,415
CharParIter,decompress ([closure]),,105824200.0,420
CharParIter,decompress ([closure]),,106729200.0,425
CharParIter,decompress ([closure]),,108464500.0,430
CharParIter,decompress ([closure]),,87134100.0,435
CharParIter,decompress ([closure]),,86182400.0,440
CharParIter,decompress ([closure]),,87275000.0,445
CharParIter,decompress ([closure]),,88015300.0,450
CharParIter,decompress ([closure]),,88786300.0,455
CharParIter,decompress ([closure]),,89734100.0,460
CharParIter,decompress ([closure]),,91249400.0,465
CharParIter,decompress ([closure]),,97303000.0,470
CharParIter,decompress ([closure]),,93763300.0,475
CharParIter,decompress ([closure]),,93876300.0,480
CharParIter,decompress ([closure]),,95973100.0,485
CharParIter,decompress ([closure]),,95330000.0,490
CharParIter,decompress ([closure]),,97028700.0,495
CharParIter,decompress ([closure]),,102331300.0,500
