group,function,value,sample_time_nanos,iteration_count
CharParIter,decompress (fn()),,1355600.0,3
CharParIter,decompress (fn()),,2632400.0,6
CharParIter,decompress (fn()),,4075200.0,9
CharParIter,decompress (fn()),,5608200.0,12
CharParIter,decompress (fn()),,6652300.0,15
CharParIter,decompress (fn()),,8040400.0,18
CharParIter,decompress (fn()),,9375800.0,21
CharParIter,decompress (fn()),,10733400.0,24
CharParIter,decompress (fn()),,12127900.0,27
CharParIter,decompress (fn()),,13382600.0,30
CharParIter,decompress (fn()),,14660400.0,33
CharParIter,decompress (fn()),,16087000.0,36
CharParIter,decompress (fn()),,17429700.0,39
CharParIter,decompress (fn()),,18885400.0,42
CharParIter,decompress (fn()),,20110500.0,45
CharParIter,decompress (fn()),,21386900.0,48
CharParIter,decompress (fn()),,22849600.0,51
CharParIter,decompress (fn()),,24572700.0,54
CharParIter,decompress (fn()),,25528000.0,57
CharParIter,decompress (fn()),,27077700.0,60
CharParIter,decompress (fn()),,29993400.0,63
CharParIter,decompress (fn()),,32702100.0,66
CharParIter,decompress (fn()),,31043700.0,69
CharParIter,decompress (fn()),,32045800.0,72
CharParIter,decompress (fn()),,33262500.0,75
CharParIter,decompress (fn()),,34795800.0,78
CharParIter,decompress (fn()),,36198300.0,81
CharParIter,decompress (fn()),,37592600.0,84
CharParIter,decompress (fn()),,38891600.0,87
CharParIter,decompress (fn()),,40199100.0,90
CharParIter,decompress (fn()),,41394400.0,93
CharParIter,decompress (fn()),,42979500.0,96
CharParIter,decompress (fn()),,44222800.0,99
CharParIter,decompress (fn()),,45241400.0,102
CharParIter,decompress (fn()),,47551900.0,105
CharParIter,decompress (fn()),,48052600.0,108
CharParIter,decompress (fn()),,49200900.0,111
CharParIter,decompress (fn()),,51374300.0,114
CharParIter,decompress (fn()),,52326900.0,117
CharParIter,decompress (fn()),,53704600.0,120
CharParIter,decompress (fn()),,54753100.0,123
CharParIter,decompress (fn()),,56327200.0,126
CharParIter,decompress (fn()),,57242200.0,129
CharParIter,decompress (fn()),,59108200.0,132
CharParIter,decompress (fn()),,65352800.0,135
CharParIter,decompress (fn()),,61355200.0,138
CharParIter,decompress (fn()),,62988800.0,141
CharParIter,decompress (fn()),,64969500.0,144
CharParIter,decompress (fn()),,65509800.0,147
CharParIter,decompress (fn()),,67292200.0,150
CharParIter,decompress (fn()),,68415000.0,153
CharParIter,decompress (fn()),,69340700.0,156
CharParIter,decompress (fn()),,74318900.0,159
CharParIter,decompress (fn()),,72586400.0,162
CharParIter,decompress (fn()),,73889200.0,165
CharParIter,decompress (fn()),,74731200.0,168
CharParIter,decompress (fn()),,76339200.0,171
CharParIter,decompress (fn()),,77593200.0,174
CharParIter,decompress (fn()),,78784200.0,177
CharParIter,decompress (fn()),,85561700.0,180
CharParIter,decompress (fn()),,81332800.0,183
CharParIter,decompress (fn()),,83618300.0,186
CharParIter,decompress (fn()),,84331000.0,189
CharParIter,decompress (fn()),,85689800.0,192
CharParIter,decompress (fn()),,106338400.0,195
CharParIter,decompress (fn()),,113944500.0,198
CharParIter,decompress (fn()),,115665100.0,201
CharParIter,decompress (fn()),,117759500.0,204
CharParIter,decompress (fn()),,116895900.0,207
CharParIter,decompress (fn()),,99070900.0,210
CharParIter,decompress (fn()),,95074200.0,213
CharParIter,decompress (fn()),,96848700.0,216
CharParIter,decompress (fn()),,98021600.0,219
CharParIter,decompress (fn()),,99243000.0,222
CharParIter,decompress (fn()),,99965300.0,225
CharParIter,decompress (fn()),,101921000.0,228
CharParIter,decompress (fn()),,102951300.0,231
CharParIter,decompress (fn()),,104744900.0,234
CharParIter,decompress (fn()),,105396100.0,237
CharParIter,decompress (fn()),,108365400.0,240
CharParIter,decompress (fn()),,112754700.0,243
CharParIter,decompress (fn()),,109925200.0,246
CharParIter,decompress (fn()),,111094200.0,249
CharParIter,decompress (fn()),,112541200.0,252
CharParIter,decompress (fn()),,144660000.0,255
CharParIter,decompress (fn()),,148404500.0,258
CharParIter,decompress (fn()),,150965200.0,261
CharParIter,decompress (fn()),,154538600.0,264
CharParIter,decompress (fn()),,157855300.0,267
CharParIter,decompress (fn()),,161140100.0,270
CharParIter,decompress (fn()),,173655600.0,273
CharParIter,decompress (fn()),,165717300.0,276
CharParIter,decompress (fn()),,162786900.0,279
CharParIter,decompress (fn()),,162672700.0,282
CharParIter,decompress (fn()),,135588000.0,285
CharParIter,decompress (fn()),,128734200.0,288
CharParIter,decompress (fn()),,131805800.0,291
CharParIter,decompress (fn()),,133831900.0,294
CharParIter,decompress (fn()),,132573600.0,297
CharParIter,decompress (fn()),,135285800.0,300
