group,function,value,sample_time_nanos,iteration_count
CharParIter,try_from ([closure]),,1165000.0,6
CharParIter,try_from ([closure]),,2317700.0,12
CharParIter,try_from ([closure]),,3471800.0,18
CharParIter,try_from ([closure]),,4866400.0,24
CharParIter,try_from ([closure]),,5922000.0,30
CharParIter,try_from ([closure]),,7126000.0,36
CharParIter,try_from ([closure]),,8147900.0,42
CharParIter,try_from ([closure]),,9594800.0,48
CharParIter,try_from ([closure]),,10530400.0,54
CharParIter,try_from ([closure]),,11675900.0,60
CharParIter,try_from ([closure]),,13004200.0,66
CharParIter,try_from ([closure]),,13946000.0,72
CharParIter,try_from ([closure]),,15655600.0,78
CharParIter,try_from ([closure]),,16611100.0,84
CharParIter,try_from ([closure]),,17687100.0,90
CharParIter,try_from ([closure]),,18614000.0,96
CharParIter,try_from ([closure]),,19956600.0,102
CharParIter,try_from ([closure]),,21322500.0,108
CharParIter,try_from ([closure]),,23054100.0,114
CharParIter,try_from ([closure]),,23535800.0,120
CharParIter,try_from ([closure]),,24667800.0,126
CharParIter,try_from ([closure]),,25917200.0,132
CharParIter,try_from ([closure]),,27224900.0,138
CharParIter,try_from ([closure]),,28042500.0,144
CharParIter,try_from ([closure]),,29487900.0,150
CharParIter,try_from ([closure]),,30612500.0,156
CharParIter,try_from ([closure]),,31480100.0,162
CharParIter,try_from ([closure]),,32670600.0,168
CharParIter,try_from ([closure]),,34057400.0,174
CharParIter,try_from ([closure]),,35672400.0,180
CharParIter,try_from ([closure]),,41329700.0,186
CharParIter,try_from ([closure]),,37652000.0,192
CharParIter,try_from ([closure]),,38732300.0,198
CharParIter,try_from ([closure]),,40713900.0,204
CharParIter,try_from ([closure]),,41459700.0,210
CharParIter,try_from ([closure]),,42194100.0,216
CharParIter,try_from ([closure]),,43652900.0,222
CharParIter,try_from ([closure]),,44936700.0,228
CharParIter,try_from ([closure]),,45754200.0,234
CharParIter,try_from ([closure]),,46975300.0,240
CharParIter,try_from ([closure]),,48294300.0,246
CharParIter,try_from ([closure]),,50775900.0,252
CharParIter,try_from ([closure]),,65563900.0,258
CharParIter,try_from ([closure]),,66689400.0,264
CharParIter,try_from ([closure]),,68183100.0,270
CharParIter,try_from ([closure]),,69868000.0,276
CharParIter,try_from ([closure]),,71170500.0,282
CharParIter,try_from ([closure]),,72580900.0,288
CharParIter,try_from ([closure]),,74379900.0,294
CharParIter,try_from ([closure]),,83010500.0,300
CharParIter,try_from ([closure]),,78037900.0,306
CharParIter,try_from ([closure]),,79060800.0,312
CharParIter,try_from ([closure]),,80178400.0,318
CharParIter,try_from ([closure]),,81608200.0,324
CharParIter,try_from ([closure]),,83521700.0,330
CharParIter,try_from ([closure]),,84947600.0,336
CharParIter,try_from ([closure]),,66894000.0,342
CharParIter,try_from ([closure]),,68111600.0,348
CharParIter,try_from ([closure]),,69350100.0,354
CharParIter,try_from ([closure]),,70461000.0,360
CharParIter,try_from ([closure]),,71646800.0,366
CharParIter,try_from ([closure]),,75719800.0,372
CharParIter,try_from ([closure]),,73942100.0,378
CharParIter,try_from ([closure]),,81346900.0,384
CharParIter,try_from ([closure]),,76833700.0,390
CharParIter,try_from ([closure]),,77860300.0,396
CharParIter,try_from ([closure]),,78548300.0,402
CharParIter,try_from ([closure]),,82732000.0,408
CharParIter,try_from ([closure]),,81107000.0,414
CharParIter,try_from ([closure]),,82566600.0,420
CharParIter,try_from ([closure]),,83407100.0,426
CharParIter,try_from ([closure]),,84591700.0,432
CharParIter,try_from ([closure]),,85866100.0,438
CharParIter,try_from ([closure]),,86753500.0,444
CharParIter,try_from ([closure]),,88074500.0,450
CharParIter,try_from ([closure]),,92236000.0,456
CharParIter,try_from ([closure]),,121206700.0,462
CharParIter,try_from ([closure]),,118517100.0,468
CharParIter,try_from ([closure]),,119910800.0,474
CharParIter,try_from ([closure]),,121315500.0,480
CharParIter,try_from ([closure]),,123081300.0,486
CharParIter,try_from ([closure]),,124104500.0,492
CharParIter,try_from ([closure]),,125826400.0,498
CharParIter,try_from ([closure]),,127040200.0,504
CharParIter,try_from ([closure]),,138594100.0,510
CharParIter,try_from ([closure]),,130977800.0,516
CharParIter,try_from ([closure]),,132169500.0,522
CharParIter,try_from ([closure]),,134968800.0,528
CharParIter,try_from ([closure]),,118869800.0,534
CharParIter,try_from ([closure]),,105511600.0,540
CharParIter,try_from ([closure]),,107076300.0,546
CharParIter,try_from ([closure]),,107968400.0,552
CharParIter,try_from ([closure]),,109309300.0,558
CharParIter,try_from ([closure]),,116133700.0,564
CharParIter,try_from ([closure]),,111458000.0,570
CharParIter,try_from ([closure]),,112404800.0,576
CharParIter,try_from ([closure]),,114484600.0,582
CharParIter,try_from ([closure]),,115231200.0,588
CharParIter,try_from ([closure]),,116554600.0,594
CharParIter,try_from ([closure]),,117374800.0,600
