group,function,value,sample_time_nanos,iteration_count
CharParIter,try_from (fn()),,1008300.0,2
CharParIter,try_from (fn()),,2082800.0,4
CharParIter,try_from (fn()),,3043800.0,6
CharParIter,try_from (fn()),,4063200.0,8
CharParIter,try_from (fn()),,5058400.0,10
CharParIter,try_from (fn()),,6199000.0,12
CharParIter,try_from (fn()),,7116700.0,14
CharParIter,try_from (fn()),,8123300.0,16
CharParIter,try_from (fn()),,9247900.0,18
CharParIter,try_from (fn()),,10654400.0,20
CharParIter,try_from (fn()),,11217200.0,22
CharParIter,try_from (fn()),,12245500.0,24
CharParIter,try_from (fn()),,13224500.0,26
CharParIter,try_from (fn()),,14384000.0,28
CharParIter,try_from (fn()),,15298700.0,30
CharParIter,try_from (fn()),,16342500.0,32
CharParIter,try_from (fn()),,17303200.0,34
CharParIter,try_from (fn()),,18418700.0,36
CharParIter,try_from (fn()),,19307500.0,38
CharParIter,try_from (fn()),,20888200.0,40
CharParIter,try_from (fn()),,21583100.0,42
CharParIter,try_from (fn()),,22857300.0,44
CharParIter,try_from (fn()),,23475800.0,46
CharParIter,try_from (fn()),,24447200.0,48
CharParIter,try_from (fn()),,25696500.0,50
CharParIter,try_from (fn()),,26447600.0,52
CharParIter,try_from (fn()),,27424400.0,54
CharParIter,try_from (fn()),,28491400.0,56
CharParIter,try_from (fn()),,29706000.0,58
CharParIter,try_from (fn()),,30497700.0,60
CharParIter,try_from (fn()),,31565200.0,62
CharParIter,try_from (fn()),,32624500.0,64
CharParIter,try_from (fn()),,34985100.0,66
CharParIter,try_from (fn()),,39375500.0,68
CharParIter,try_from (fn()),,36447500.0,70
CharParIter,try_from (fn()),,36618800.0,72
CharParIter,try_from (fn()),,37781400.0,74
CharParIter,try_from (fn()),,39329200.0,76
CharParIter,try_from (fn()),,40134700.0,78
CharParIter,try_from (fn()),,41097800.0,80
CharParIter,try_from (fn()),,41817000.0,82
CharParIter,try_from (fn()),,42840300.0,84
CharParIter,try_from (fn()),,43913100.0,86
CharParIter,try_from (fn()),,44902200.0,88
CharParIter,try_from (fn()),,46412900.0,90
CharParIter,try_from (fn()),,47071300.0,92
CharParIter,try_from (fn()),,47856200.0,94
CharParIter,try_from (fn()),,48917500.0,96
CharParIter,try_from (fn()),,50117400.0,98
CharParIter,try_from (fn()),,64519700.0,100
CharParIter,try_from (fn()),,66957900.0,102
CharParIter,try_from (fn()),,68651500.0,104
CharParIter,try_from (fn()),,69364300.0,106
CharParIter,try_from (fn()),,71244600.0,108
CharParIter,try_from (fn()),,79589200.0,110
CharParIter,try_from (fn()),,73775700.0,112
CharParIter,try_from (fn()),,75206600.0,114
CharParIter,try_from (fn()),,76598400.0,116
CharParIter,try_from (fn()),,77711100.0,118
CharParIter,try_from (fn()),,81948200.0,120
CharParIter,try_from (fn()),,80371600.0,122
CharParIter,try_from (fn()),,81553600.0,124
CharParIter,try_from (fn()),,83406500.0,126
CharParIter,try_from (fn()),,84417400.0,128
CharParIter,try_from (fn()),,85463600.0,130
CharParIter,try_from (fn()),,86814300.0,132
CharParIter,try_from (fn()),,90384200.0,134
CharParIter,try_from (fn()),,95310800.0,136
CharParIter,try_from (fn()),,91103600.0,138
CharParIter,try_from (fn()),,76616400.0,140
CharParIter,try_from (fn()),,72761700.0,142
CharParIter,try_from (fn()),,73951200.0,144
CharParIter,try_from (fn()),,74652100.0,146
CharParIter,try_from (fn()),,75551400.0,148
CharParIter,try_from (fn()),,76678500.0,150
CharParIter,try_from (fn()),,77903200.0,152
CharParIter,try_from (fn()),,78540000.0,154
CharParIter,try_from (fn()),,79699500.0,156
CharParIter,try_from (fn()),,80463100.0,158
CharParIter,try_from (fn()),,82473900.0,160
CharParIter,try_from (fn()),,88722500.0,162
CharParIter,try_from (fn()),,84167500.0,164
CharParIter,try_from (fn()),,84817200.0,166
CharParIter,try_from (fn()),,85903100.0,168
CharParIter,try_from (fn()),,87145100.0,170
CharParIter,try_from (fn()),,87811300.0,172
CharParIter,try_from (fn()),,88820400.0,174
CharParIter,try_from (fn()),,90277000.0,176
CharParIter,try_from (fn()),,108526700.0,178
CharParIter,try_from (fn()),,119179400.0,180
CharParIter,try_from (fn()),,125269800.0,182
CharParIter,try_from (fn()),,126135900.0,184
CharParIter,try_from (fn()),,122128100.0,186
CharParIter,try_from (fn()),,124284900.0,188
CharParIter,try_from (fn()),,125213900.0,190
CharParIter,try_from (fn()),,126327900.0,192
CharParIter,try_from (fn()),,127716800.0,194
CharParIter,try_from (fn()),,129104800.0,196
CharParIter,try_from (fn()),,130575800.0,198
CharParIter,try_from (fn()),,138909100.0,200
